#Generated on Thu, 26 Feb 2015 16:08:47 CET 
#Registered probes: 12790
#Connected probes: 7672
#No.:ASN:Holder:Count of registered probes:Count of connected probes:Cumulative probability of connected probes
81:8612:TISCALI-IT Tiscali Italia S.P.A.,IT:16:12:0.4168
82:8422:NETCOLOGNE NetCologne GmbH,DE:17:12:0.4184
83:6661:EPT-LU Entreprise des Postes et Telecommunications,LU:13:12:0.4200
84:1267:ASN-INFOSTRADA WIND Telecomunicazioni S.p.A.,IT:17:12:0.4215
85:29695:LYSE-AS Altibox AS,NO:16:12:0.4231
86:35612:NGI-AS NGI Spa,IT:15:12:0.4247
87:13030:INIT7 Init7 (Switzerland) Ltd.,CH:17:12:0.4262
88:15895:KSNET-AS "Kyivstar" PJSC,UA:28:12:0.4278
89:378:MACHBA-AS ILAN,IL:12:11:0.4292
90:174:COGENT-174 - Cogent Communications,US:14:11:0.4307
91:20676:QSC-1 QSC AG,DE:16:11:0.4321
92:31012:DCM-AS B.Net Hrvatska d.o.o.,HR:13:11:0.4335
93:3491:BTN-ASN - Beyond The Network America, Inc.,US:14:11:0.4350
94:5483:HTC-AS Magyar Telekom Plc.,HU:13:11:0.4364
95:46375:AS-SONICTELECOM - Sonic Telecom LLC,US:13:11:0.4378
96:8447:TELEKOM-AT A1 Telekom Austria AG,AT:14:11:0.4393
97:44869:SEAS-NVE-AS SEAS-NVE Holding A/S,DK:12:11:0.4407
98:8767:MNET-AS M-net Telekommunikations GmbH, Germany,DE:15:10:0.4420
99:8708:RCS-RDS RCS & RDS SA,RO:19:10:0.4433
100:12844:ASN-BOUYGTEL-MOBILE Bouygues Telecom SA,FR:12:10:0.4446
101:6057:Administracion Nacional de Telecomunicaciones,UY:14:10:0.4459
102:25596:CAMBRIUM-AS Cambrium IT Services B.V.,NL:11:9:0.4471
103:12871:NL-CONCEPTS KPN B.V.,NL:10:9:0.4483
104:12353:VODAFONE-PT Vodafone Telecel, Comunicacoes Pessoais, SA,PT:12:9:0.4494
105:5615:TISNL-BACKBONE KPN B.V.,NL:14:9:0.4506
106:35141:MEGALAN MOBILTEL EAD,BG:15:9:0.4518
107:2514:INFOSPHERE NTT PC Communications, Inc.,JP:10:9:0.4529
108:18881:Global Village Telecom,BR:13:9:0.4541
109:1955:HBONE-AS HUNGARNET,HU:10:9:0.4553
110:5650:FRONTIER-FRTR - Frontier Communications of America, Inc.,US:11:9:0.4565
111:4788:TMNET-AS-AP TM Net, Internet Service Provider,MY:26:9:0.4576
112:2116:ASN-CATCHCOM Broadnet AS,NO:11:9:0.4588
113:16637:MTNNS-AS,ZA:17:9:0.4600
114:137:ASGARR Consortium GARR,IT:12:9:0.4612
115:4804:MPX-AS Microplex PTY LTD,AU:9:9:0.4623
116:29314:VECTRANET-AS VECTRA S.A.,PL:11:9:0.4635
117:13188:BANKINFORM-AS CONTENT DELIVERY NETWORK LTD,UA:20:8:0.4645
118:1764:NEXTLAYER-AS next layer Telekommunikationsdienstleistungs- GmbH,AT:8:8:0.4656
119:3329:HOL-GR hellas online Electronic Communications S.A.,GR:15:8:0.4666
120:2611:BELNET BELNET,BE:9:8:0.4677
121:15435:KABELFOON CAIW Diensten B.V.,NL:8:8:0.4687
122:5769:VIDEOTRON - Videotron Telecom Ltee,CA:13:8:0.4698
123:23655:SNAP-NZ-AS Snap Internet Limited,NZ:14:8:0.4708
124:31042:SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o.,RS:14:8:0.4718
125:9105:TISCALI-UK Tiscali UK,GB:12:8:0.4729
126:1273:CW Cable and Wireless Worldwide plc,GB:9:8:0.4739
127:31514:INF-NET-AS LLC "Multiscan",RU:10:8:0.4750
128:6866:CYTA-NETWORK Cyprus Telecommunications Authority,CY:11:8:0.4760
129:8251:NFX_ZSPO FreeTel, s.r.o.,CZ:11:8:0.4771
130:22047:VTR BANDA ANCHA S.A.,CL:9:8:0.4781
131:12741:AS-NETIA Netia SA,PL:16:8:0.4791
132:25248:BLUETONE-AS RADIOKOMUNIKACE a.s.,CZ:8:8:0.4802
133:39651:COMHEM-SWEDEN Com Hem Sweden,SE:10:8:0.4812
134:9506:MAGIX-SG-AP Magix Broadband Network,SG:12:8:0.4823
135:41164:GET-NO GET Norway,NO:20:7:0.4832
136:559:SWITCH SWITCH, Swiss Education and Research Network,CH:10:7:0.4841
137:2200:FR-RENATER Reseau National de telecommunications pour la Technologie,FR:11:7:0.4850
138:29518:BREDBAND2 Bredband2 AB,SE:7:7:0.4859
139:8997:ASN-SPBNIT OJSC Rostelecom,RU:15:7:0.4868
140:29355:KCELL-AS "KCell" JSC,KZ:7:7:0.4877
141:8866:BTC-AS Bulgarian Telecommunication Company Plc.,BG:7:7:0.4887
142:8359:MTS MTS OJSC,RU:13:7:0.4896
143:8468:ENTANET ENTANET International Limited,GB:14:7:0.4905
144:39554:FULLRATE TDC A/S,DK:8:7:0.4914
145:5391:T-HT Hrvatski Telekom d.d.,HR:12:7:0.4923
146:31027:NIANET-AS Nianet A/S,DK:7:7:0.4932
147:12414:NL-SOLCON SOLCON,NL:10:7:0.4941
148:4713:OCN NTT Communications Corporation,JP:9:7:0.4950
149:13127:VERSATEL Tele 2 Nederland B.V.,NL:8:7:0.4960
150:6079:RCN-AS - RCN,US:9:7:0.4969
151:5588:GTSCE T-Mobile Czech Republic a.s.,CZ:11:7:0.4978
152:8426:CLARANET-AS ClaraNET LTD,GB:9:7:0.4987
153:10474:MWEB-10474,ZA:12:7:0.4996
154:15502:VODAFONE-IRELAND-ASN Vodafone Ireland,IE:12:7:0.5005
155:12513:ECLIPSE KCOM GROUP PLC,GB:13:7:0.5014
156:8346:SONATEL-AS Autonomous System,SN:7:7:0.5023
157:34245:MAGNET-AS Magnet Networks Limited,IE:7:7:0.5033
158:2018:TENET-1,ZA:7:7:0.5042
159:29208:DIALTELECOM-AS Dial Telecom, a.s.,SK:7:7:0.5051
160:3216:SOVAM-AS OJSC "Vimpelcom",RU:11:7:0.5060
161:12542:TVCABO-AS TVCABO Autonomous System,PT:11:7:0.5069
162:1741:FUNETAS FUNET autonomous system,FI:9:7:0.5078
163:4685:ASAHI-NET Asahi Net,JP:6:6:0.5086
164:1759:TSF-IP-CORE TeliaSonera Finland Oyj,FI:8:6:0.5094
165:16246:AS16246 RIOMEDIA Autonomous system,CZ:7:6:0.5102
166:13285:OPALTELECOM-AS TalkTalk Communications Limited,GB:11:6:0.5109
167:31200:NTK Novotelecom Ltd,RU:6:6:0.5117
168:40788:START-CA - Start Communications,CA:6:6:0.5125
169:43205:BULSATCOM-BG-AS Bulsatcom AD,BG:6:6:0.5133
170:7545:TPG-INTERNET-AP TPG Telecom Limited,AU:10:6:0.5141
171:812:ROGERS-CABLE - Rogers Cable Communications Inc.,CA:8:6:0.5149
172:2852:CESNET2 CESNET z.s.p.o.,CZ:7:6:0.5156
173:1221:ASN-TELSTRA Telstra Pty Ltd,AU:11:6:0.5164
174:35807:SKYNET-SPB-AS SkyNet Ltd.,RU:9:6:0.5172
175:4323:TWTC - tw telecom holdings, inc.,US:6:6:0.5180
176:39608:LANETUA-AS Lanet Network Ltd.,UA:9:6:0.5188
177:6730:SUNRISE Sunrise Communications AG,CH:7:6:0.5196
178:33363:BHN-TAMPA - BRIGHT HOUSE NETWORKS, LLC,US:8:6:0.5203
179:13124:IBGC Blizoo Media and Broadband EAD,BG:9:6:0.5211
180:30036:MEDIACOM-ENTERPRISE-BUSINESS - Mediacom Communications Corp,US:6:6:0.5219
181:13110:INEA-AS INEA S.A.,PL:8:6:0.5227
182:9121:TTNET Turk Telekomunikasyon Anonim Sirketi,TR:10:6:0.5235
183:24923:SETTC Closed Joint Stock Company TransTeleCom,RU:8:6:0.5242
184:11427:SCRR-11427 - Time Warner Cable Internet LLC,US:11:6:0.5250
185:766:REDIRIS Entidad Publica Empresarial Red.es,ES:15:6:0.5258
186:6939:HURRICANE - Hurricane Electric, Inc.,US:7:6:0.5266
187:21021:MULTIMEDIA-AS Multimedia Polska S.A.,PL:10:6:0.5274
188:11232:MIDCO-NET - Midcontinent Media, Inc.,US:6:6:0.5282
189:20764:RASCOM-AS CJSC Rascom, St.Petersburg, Russia,RU:7:6:0.5289
190:15598:QSC-AG-IPX QSC AG,DE:6:5:0.5296
191:31246:NETBOX-AS SMART Comp. a.s.,CZ:7:5:0.5302
192:10143:EXETEL-AS-AP Exetel Pty Ltd,AU:5:5:0.5309
193:553:BELWUE Landeshochschulnetz Baden-Wuerttemberg (BelWue),DE:8:5:0.5315
194:23889:MauritiusTelecom,MU:7:5:0.5322
195:31549:RASANA Aria Shatel Company Ltd,IR:8:5:0.5328
196:20880:TELECOLUMBUS Tele Columbus AG,DE:6:5:0.5335
197:24398:AUT-NZ-AP Auckland University of Technology,NZ:5:5:0.5342
198:16347:RMI-FITECH ADISTA SAS,FR:5:5:0.5348
199:2516:KDDI KDDI CORPORATION,JP:7:5:0.5355
200:36958:CWSeychelles-AS,SC:13:5:0.5361
201:4766:KIXS-AS-KR Korea Telecom,KR:7:5:0.5368
202:5603:SIOL-NET Telekom Slovenije d.d.,SI:5:5:0.5374
203:5602:KPNQwest Italia S.p.a,IT:4:5:0.5381
204:224:UNINETT UNINETT, The Norwegian University & Research Network,NO:5:5:0.5387
205:21246:IPKO-AS Ipko Telecommunications LLC,AL:8:5:0.5394
206:33885:OWNIT Ownit Broadband AB,SE:6:5:0.5400
207:34984:TELLCOM-AS TELLCOM ILETISIM HIZMETLERI A.S.,TR:6:5:0.5407
208:4773:MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore,SG:7:5:0.5413
209:4771:SPARKNZ Spark New Zealand Trading Ltd.,NZ:8:5:0.5420
210:6752:ANDORRA Servei de Telecomunicacions d'Andorra,AD:10:5:0.5426
211:12271:SCRR-12271 - Time Warner Cable Internet LLC,US:6:5:0.5433
212:4181:TDS-AS - TDS TELECOM,US:5:5:0.5439
213:4768:CLIX-NZ TelstraClear Ltd,NZ:6:5:0.5446
214:35244:KMS-DE_AS AS for KMS Munich,DE:6:5:0.5452
215:2527:SO-NET So-net Entertainment Corporation,JP:6:5:0.5459
216:57356:HIGHNET-AS Highland Network Ltd,GB:5:5:0.5465
217:39544:VOE VO Energies Multimedia SA,CH:6:5:0.5472
218:15547:NETPLUS netplus.ch SA,CH:5:5:0.5478
219:12670:AS-COMPLETEL COMPLETEL SAS France,FR:7:5:0.5485
220:43561:NET1-AS NET1 Ltd.,BG:12:5:0.5491
221:25512:CDT-AS CD-Telematika a.s.,CZ:5:5:0.5498
222:36351:SOFTLAYER - SoftLayer Technologies Inc.,US:6:5:0.5504
223:33874:VFM-AS Vodafone Malta International Gateway,MT:5:5:0.5511
224:2602:RESTENA Fondation RESTENA,LU:5:5:0.5517
225:2609:TN-BB-AS Tunisia BackBone AS,TN:12:5:0.5524
226:32440:LONI - Louisiana Board of Regents/Louisiana Optical Network Initiative (LONI),US:6:5:0.5531
227:6855:Slovak Telecom, a. s.,SK:5:5:0.5537
228:36937:Neotel-AS,ZA:9:5:0.5544
229:8437:UTA-AS Tele2 Telecommunication GmbH,AT:6:5:0.5550
230:34779:T-2-AS T-2, d.o.o.,SI:9:5:0.5557
231:39647:REDHOSTING-AS Redhosting BV AS number,NL:5:5:0.5563
232:25513:ASN-MGTS-USPD OJS Moscow city telephone network,RU:7:5:0.5570
233:21219:DATAGROUP PRIVATE JOINT STOCK COMPANY "DATAGROUP",UA:9:5:0.5576
234:29321:CENTRONETAS Centronet, a.s.,CH:5:5:0.5583
235:31078:NETSIGN Netsign Networks GmbH,DE:6:5:0.5589
236:56300:MYHOSTING-AS-AP MYHOSTING,SG:7:5:0.5596
237:7657:VODAFONE-NZ-NGN-AS Vodafone NZ Ltd.,NZ:12:5:0.5602
238:34594:OT-AS OT - Optima Telekom d.d.,HR:6:5:0.5609
239:8365:MANDA Man-da.de GmbH,DE:7:5:0.5615
240:21175:WIS WIS Telecom SA,BE:5:5:0.5622
241:51873:ARCADE-AS Arcade Solutions AG,CH:5:5:0.5628
242:15659:NEXTGENTEL NEXTGENTEL Autonomous System,NO:8:5:0.5635
243:28683:BENINTELECOM,BJ:10:5:0.5641
244:32107:WAVE-CABLE - Wave Broadband,US:7:5:0.5648
245:1653:SUNET SUNET Swedish University Network,SE:6:4:0.5653
246:30844:LIQUID-AS Liquid Telecommunications Ltd,GB:5:4:0.5658
247:327687:RENU,UG:4:4:0.5663
248:8764:TEOLTAB TEO LT, AB,LT:4:4:0.5669
249:54858:AS-SBI - Condointernet.net,US:4:4:0.5674
250:9534:MAXIS-AS1-AP Binariang Berhad,MY:6:4:0.5679
251:25543:FasoNet-AS,BF:6:4:0.5684
252:39912:I3B-AS i3B - Internetbreitband GmbH,AT:7:4:0.5690
253:7065:SONOMA - Sonoma Interconnect,US:4:4:0.5695
254:8151:Uninet S.A. de C.V.,MX:6:4:0.5700
255:29119:SERVIHOSTING-AS ServiHosting Networks S.L.,ES:5:4:0.5705
256:12570:ITSELF itself s.r.o.,CZ:5:4:0.5710
257:12479:UNI2-AS France Telecom Espana SA,ES:6:4:0.5716
258:24955:UBN-AS OJSC "Ufanet",RU:9:4:0.5721
259:2518:BIGLOBE BIGLOBE Inc.,JP:6:4:0.5726
260:13272:STARMAN Starman AS,EE:4:4:0.5731
261:15600:FINECOM Quickline AG,CH:4:4:0.5736
262:29124:SU29-AS Iskratelecom CJSC,RU:10:4:0.5742
263:15695:EXPEREO Expereo International BV,NL:4:4:0.5747
264:9199:RENAM "RENAM" Public Association,MD:5:4:0.5752
265:8607:TIMICO Timico Ltd Autonomous System,GB:4:4:0.5757
266:12843:TELEMAXX TelemaxX Telekommunikation GmbH,DE:4:4:0.5763
267:1836:GREEN green.ch AG Autonomous System,CH:6:4:0.5768
268:5381:POWTECH-AS PowerTech Information Systems AS,NO:4:4:0.5773
269:41090:E-LIANCE Equation SA,FR:4:4:0.5778
270:24560:AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services,IN:10:4:0.5783
271:6400:Compañía Dominicana de Teléfonos, C. por A. - CODETEL,DO:5:4:0.5789
272:5719:SUNYSB - SUNY at Stony Brook,US:6:4:0.5794
273:51815:TEKNIKBYRAN Teknikbyran i Sverige AB,SE:5:4:0.5799
274:9008:AS9008 Visual Online S.A.,LU:5:4:0.5804
275:199291:BCDS Blue Chip Data Systems Limited,GB:4:4:0.5809
276:13041:CESCA-AC Consorci de Serveis Universitaris de Catalunya,ES:5:4:0.5815
277:11814:DISTRIBUTEL-AS11814 - DISTRIBUTEL COMMUNICATIONS LTD.,CA:4:4:0.5820
278:13046:ASN-ISKON ISKON INTERNET d.d. za informatiku i telekomunikacije,HR:8:4:0.5825
279:44395:ORG-UL31-RIPE UCOM LLC,AM:5:4:0.5830
280:9070:ITD ITD Network Bulgarian ISP,BG:5:4:0.5836
281:23966:LDN-AS-PK LINKdotNET Telecom Limited,PK:6:4:0.5841
282:12083:WOW-INTERNET - WideOpenWest Finance LLC,US:5:4:0.5846
